group,liveCell,ImmuneCell,Tc,NK,Neutrophil,NKT,Th,CD3,TcellInLiveCell,TcellInImmuneCell,CD8OverCD3,CD8InLiveCell,treatmemt
ctrl1,50380,10000,3.5,1.07,25.73,3.41,3.86,7.27,0.021377531,0.1077,0.481430536,0.006947201,PBS
PD11,245259,6046,9.576579557,0.611974859,9.659278862,6.235527622,1.802844856,8.038372478,0.004342348,0.17614952,1.191358025,0.00236077,PDL1
ctrl2,102391,10000,24.82,0.58,1.97,4.48,4.21,8.69,0.032727486,0.3351,2.856156502,0.024240412,PBS
PD12,151012,2205,19.41043084,5.306122449,2.040816327,13.69614512,16.19047619,29.88662132,0.007198103,0.492970522,0.649468892,0.002834212,PDL1
ctrl3,66908,4574,3.082641014,0.874508089,50.26235243,2.383034543,3.03891561,5.421950153,0.005813953,0.085045912,0.568548387,0.002107371,PBS
PD13,328522,10000,5.03,0.74,47.52,5.38,3.1,8.48,0.004112358,0.1351,0.593160377,0.0015311,PDL1
ctrl4,970639,10000,15.97,3.29,8.17,5.86,7.42,13.28,0.003013479,0.2925,1.202560241,0.001645308,PBS
PD14,658271,10000,15.64,2.51,1.02,6.69,8.22,14.91,0.004640946,0.3055,1.048960429,0.002375921,PDL1
ctrl5,22592,1960,15.56122449,1.020408163,6.530612245,15.15306122,2.602040816,17.75510204,0.028904037,0.333163265,0.876436782,0.013500354,PBS
PD15,38291,10000,3.82,2.06,50.6,5.98,2.68,8.66,0.032592515,0.1248,0.441108545,0.009976235,PDL1
ctrl6,63247,3547,8.570623062,1.014942205,27.76994643,3.15759797,2.170848604,5.328446575,0.007794836,0.138990696,1.608465608,0.004806552,PBS
PD16,262961,10000,6.53,0.82,49.58,2.56,1.92,4.48,0.004186933,0.1101,1.457589286,0.002483258,PDL1
ctrl7,513212,10000,7.45,2.31,15.03,3.42,35.07,38.49,0.008951466,0.4594,0.193556768,0.001451642,PBS
PD17,69458,10000,17.82,1.81,1.52,12.8,2.03,14.83,0.047006824,0.3265,1.201618341,0.025655792,PDL1
ctrl8,63777,10000,2.92,1.59,35.18,5.04,1.87,6.91,0.01541308,0.0983,0.422575977,0.004578453,PBS
PD18,618040,10000,7.68,0.69,36.3,4.68,3.36,8.04,0.002543525,0.1572,0.955223881,0.001242638,PDL1
